[NanoDet][12-12 09:27:08]INFO: Setting up data...
[NanoDet][12-12 09:27:10]INFO: Creating model...
[NanoDet][12-12 10:17:49]INFO: Train|Epoch32/100|Iter280(1)| lr:1.32e-01| loss_qfl:0.1848| loss_bbox:0.4937| loss_dfl:0.2351| 
[NanoDet][12-12 10:19:18]INFO: Train|Epoch33/100|Iter290(2)| lr:1.36e-01| loss_qfl:0.1266| loss_bbox:0.5234| loss_dfl:0.2229| 
[NanoDet][12-12 10:20:49]INFO: Train|Epoch34/100|Iter300(3)| lr:1.40e-01| loss_qfl:0.2210| loss_bbox:0.4585| loss_dfl:0.2164| 
[NanoDet][12-12 10:22:17]INFO: Train|Epoch35/100|Iter310(4)| lr:1.40e-01| loss_qfl:0.2538| loss_bbox:0.4376| loss_dfl:0.2158| 
[NanoDet][12-12 10:23:48]INFO: Train|Epoch36/100|Iter320(5)| lr:1.40e-01| loss_qfl:0.1967| loss_bbox:0.4911| loss_dfl:0.2345| 
[NanoDet][12-12 10:25:17]INFO: Train|Epoch37/100|Iter330(6)| lr:1.40e-01| loss_qfl:0.2231| loss_bbox:0.4678| loss_dfl:0.2169| 
[NanoDet][12-12 10:26:46]INFO: Train|Epoch38/100|Iter340(7)| lr:1.40e-01| loss_qfl:0.1448| loss_bbox:0.4711| loss_dfl:0.2148| 
[NanoDet][12-12 10:28:17]INFO: Train|Epoch39/100|Iter350(8)| lr:1.40e-01| loss_qfl:0.1951| loss_bbox:0.4453| loss_dfl:0.2171| 
[NanoDet][12-12 10:30:32]INFO: Val|Epoch40/100|Iter360(0)| lr:1.40e-01| loss_qfl:0.3642| loss_bbox:0.3573| loss_dfl:0.1981| 
[NanoDet][12-12 10:30:40]INFO: Val_metrics: {'mAP': 0.06261849136006242, 'AP_50': 0.09666904813434692, 'AP_75': 0.07316613728143831, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.06350494701767209}
[NanoDet][12-12 10:32:06]INFO: Train|Epoch41/100|Iter360(0)| lr:1.40e-01| loss_qfl:0.1664| loss_bbox:0.4039| loss_dfl:0.2020| 
[NanoDet][12-12 10:33:37]INFO: Train|Epoch42/100|Iter370(1)| lr:1.40e-01| loss_qfl:0.1758| loss_bbox:0.4109| loss_dfl:0.2058| 
